Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2022/2023,""WATTS, STEPHANIE COURTNEY"",Extranjero,CADI LA SEU,185,17,67,13,54,15,17,31,3,9,19,31,142,383:21,28 / 66,38 / 96,"
"2022/2023,""WESTERIK, LAURA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,196,30,78,25,53,35,27,43,1,8,72,46,191,601:28,46 / 121,20 / 58,44 / 60"
"2022/2023,""WHALEN, ERIN PATRICIA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,410,29,145,26,119,23,19,47,3,16,73,77,331,794:38,86 / 198,61 / 157,55 / 65"
"2022/2023,""WHITE, CHATRICE MARIE"",Extranjero,KUTXABANK ARASKI,175,18,111,46,65,14,20,19,13,6,45,42,226,397:03,60 / 121,,"
"2022/2023,""WILLIAMS, BROOQUE CHRISTIA"",Extranjero,LOINTEK GERNIKA BIZKAIA,277,28,94,29,65,39,32,50,2,5,63,55,269,596:15,75 / 158,24 / 64,55 / 65"
"2022/2023,""WOJTA, JULIE NICOLE"",Extranjero,LOINTEK GERNIKA BIZKAIA,201,17,97,25,72,36,25,38,4,2,44,52,244,462:44,78 / 138,,"
"2022/2023,""YGUERAVIDE VIANA, SANDRA"",Nacional,LOINTEK GERNIKA BIZKAIA,262,25,67,11,56,102,34,58,,4,101,50,282,661:25,47 / 113,35 / 133,63 / 75"
Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2021/2022,""AGIRRE MUÑOZ, ARRATE"",Nacional,KUTXABANK ARASKI,90,15,34,2,32,27,19,29,2,,9,35,58,282:55,,17 / 52,"
"2021/2022,""ALARCON OTERO, TXELL"",Nacional,CAMPUS PROMETE,143,30,57,17,40,23,14,21,1,2,38,54,99,629:54,28 / 79,22 / 64,"
"2021/2022,""ALARIE, ISABELLA AUGUSTINE"",Extranjero,PERFUMERIAS AVENIDA,146,27,105,32,73,25,22,28,9,1,32,49,205,431:28,53 / 97,,"
"2021/2022,""ALBERDI LARRUCEA, MARTA"",Nacional,LOINTEK GERNIKA BIZKAIA,12,20,12,4,8,10,4,13,,1,11,16,3,130:28,,,"
"2021/2022,""ALIAGA ROMERO, LAURA"",Nacional,DURÁN MAQUINARIA ENSINO,236,30,54,9,45,33,23,27,4,2,34,46,175,727:20,29 / 75,50 / 135,"
"2021/2022,""ALLEN, JENNA LINN"",Extranjero,BAXI FERROL,275,29,137,30,107,41,14,52,7,5,46,70,248,769:51,85 / 167,27 / 87,"
"2021/2022,""ALLEN, REBECCA"",Extranjero,VALENCIA B.C.,275,24,93,13,80,37,30,24,17,2,38,45,294,588:02,35 / 93,58 / 118,"
"2021/2022,""ALONSO DE ARMIÑO RIAÑO, GRACIA"",Nacional,KUTXABANK ARASKI,115,28,95,42,53,34,22,32,8,2,31,73,117,544:36,39 / 82,8 / 41,"
"2021/2022,""ANGEL VILLEN, DAVINIA"",Nacional,CAMPUS PROMETE,4,15,4,1,3,,1,,,,,5,,20:38,,,"
"2021/2022,""ARIZTIMUÑO LOPEZ , ITZIAR"",Nacional,LOINTEK GERNIKA BIZKAIA,40,15,21,5,16,37,12,31,,,31,23,69,233:17,,,"
"2021/2022,""ARROJO JIMENEZ, MARIA BELEN"",Nacional,LOINTEK GERNIKA BIZKAIA,138,30,167,43,124,44,35,25,7,5,42,25,293,728:20,61 / 140,,"
"2021/2022,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,KUTXABANK ARASKI,147,27,65,9,56,58,20,27,,3,37,54,130,658:57,,27 / 100,"
"2021/2022,""ATKINSON, TANAYA MECHELLE"",Extranjero,KUTXABANK ARASKI,459,28,160,27,133,60,45,88,2,11,112,44,469,924:00,142 / 287,26 / 80,97 / 135"
"2021/2022,""AYUSO BAGUR, AINA"",Nacional,CAMPUS PROMETE,248,30,120,22,98,121,30,58,4,8,59,60,269,927:00,68 / 162,23 / 111,"
"2021/2022,""BAHI BLANQUERA, GEORGINA"",Nacional,DURÁN MAQUINARIA ENSINO,157,27,110,28,82,38,21,35,4,4,56,44,193,717:07,38 / 98,21 / 68,"
"2021/2022,""BETTENCOURT CORREIA, MARIA JOAO"",Extranjero,CASADEMONT ZARAGOZA,93,20,70,5,65,31,12,31,,1,23,37,86,408:37,,12 / 49,"
"2021/2022,""BJORKLUND, ANGELA DEANNE"",Extranjero,LOINTEK GERNIKA BIZKAIA,264,27,76,18,58,45,11,40,4,2,42,48,194,758:25,43 / 118,47 / 126,"
"2021/2022,""BRCANINOVIC, MELISA"",Extranjero,LOINTEK GERNIKA BIZKAIA,208,30,99,25,74,25,20,19,5,5,43,56,212,502:26,48 / 102,27 / 75,"
"2021/2022,""BRITO HERNANDEZ, CARLA"",Nacional,SPAR GRAN CANARIA,76,29,72,25,47,13,12,30,4,4,16,54,37,437:31,27 / 75,,"
"2021/2022,""BROTONS PASCUAL, MONTSERRAT"",Nacional,CADI LA SEU,94,30,64,17,47,18,7,26,2,3,26,58,53,461:28,41 / 90,,"
"2021/2022,""BROWN , JOY ALEXIS"",Extranjero,IDK EUSKOTREN,210,30,167,42,125,51,41,71,3,5,60,66,261,774:13,77 / 167,7 / 37,"
"2021/2022,""BUCH ROSELL, ROSO"",Nacional,LOINTEK GERNIKA BIZKAIA,195,30,74,12,62,90,34,63,1,3,64,45,189,797:32,56 / 153,18 / 64,"
"2021/2022,""BURANI, AGOSTINA PAOLA"",Extranjero,CAMPUS PROMETE,97,21,107,16,91,28,11,29,4,6,37,37,141,513:45,,18 / 58,"
"2021/2022,""BURKE, KENNEDY VALENTINE"",Extranjero,SPAR GIRONA,408,27,165,55,110,32,59,32,9,4,71,49,488,813:05,115 / 215,39 / 93,61 / 82"
"2021/2022,""CABRERA ARGUELLO, PATRICIA"",Nacional,BAXI FERROL,37,22,6,,6,4,,10,,,2,3,3,158:30,,11 / 41,"
"2021/2022,""CALDWELL, MAYA DENISE"",Extranjero,SPAR GRAN CANARIA,404,26,132,33,99,48,39,75,10,6,98,74,295,924:37,99 / 250,46 / 165,68 / 85"
"2021/2022,""CALHOUN, SIERRA"",Extranjero,CASADEMONT ZARAGOZA,405,30,116,30,86,38,22,46,4,8,90,46,361,907:16,75 / 180,58 / 150,81 / 106"
"2021/2022,""CARTER, ARICA DERRIS"",Extranjero,MOVISTAR ESTUDIANTES,378,28,93,19,74,81,34,60,4,3,89,61,331,856:53,82 / 194,53 / 150,55 / 73"
"2021/2022,""CASAS CARRERAS, QUERALT"",Nacional,VALENCIA B.C.,184,28,121,28,93,77,52,37,4,2,49,22,272,733:19,73 / 183,9 / 36,"
"2021/2022,""CAZORLA MEDINA, MARIA TERESA"",Nacional,PERFUMERIAS AVENIDA,190,30,38,6,32,122,36,42,2,3,54,39,256,748:31,51 / 89,21 / 78,"
"2021/2022,""CONDE DURAN, ITSASO"",Nacional,MOVISTAR ESTUDIANTES,21,18,20,8,12,5,4,10,,4,18,10,25,131:43,,,"
"2021/2022,""CONTELL SANCHIS, CLAUDIA"",Nacional,VALENCIA B.C.,56,20,18,6,12,8,12,9,1,3,12,24,34,176:08,,,"
"2021/2022,""COPPER, KAHLEAH LAFEESA BUTLER"",Extranjero,PERFUMERIAS AVENIDA,190,15,61,12,49,20,7,38,1,6,46,29,137,321:53,52 / 131,13 / 38,47 / 64"
"2021/2022,""CORNELIUS, LAURA"",Extranjero,IDK EUSKOTREN,222,28,79,11,68,66,25,60,1,1,63,55,236,737:06,56 / 108,26 / 73,"
"2021/2022,""COULIBALY, MARIAM ALOU"",Extranjero,IDK EUSKOTREN,412,27,221,52,169,18,12,55,10,10,100,62,516,823:31,158 / 261,,81 / 112"
"2021/2022,""COX, LAUREN ELIZABETH"",Extranjero,IDK EUSKOTREN,156,16,101,20,81,23,13,22,20,3,29,31,197,444:23,48 / 106,14 / 42,"
"2021/2022,""CRUZ LEBRATO, ANNA"",Nacional,CASADEMONT ZARAGOZA,129,27,125,6,119,75,26,50,3,1,58,49,198,632:24,46 / 120,7 / 35,"
"2021/2022,""CVITKOVIC, ANDRIJANA"",Extranjero,IDK EUSKOTREN,247,29,169,38,131,20,7,38,18,5,57,76,277,682:09,93 / 182,10 / 37,"
"2021/2022,""DE SANTIAGO OTERO, BEGOÑA"",Nacional,MOVISTAR ESTUDIANTES,82,20,31,8,23,7,15,14,2,1,8,20,59,225:09,,13 / 42,"
"2021/2022,""DELAERE, ANTONIA LAURA"",Extranjero,CASADEMONT ZARAGOZA,299,29,93,22,71,61,24,61,5,8,59,54,309,914:34,89 / 171,25 / 58,"
"2021/2022,""DIALLO DIENG , UMO DIALLO"",Nacional,MOVISTAR ESTUDIANTES,204,30,108,36,72,20,8,46,10,3,58,61,194,631:00,89 / 184,,"
"2021/2022,""DIARRA, MAIMOUNA"",Extranjero,CAMPUS PROMETE,226,27,225,87,138,18,12,55,14,4,69,82,304,578:50,97 / 202,,"
"2021/2022,""DIAZ CASTELLANO, YURENA"",Nacional,IDK EUSKOTREN,196,30,55,3,52,54,24,51,7,2,54,42,185,777:29,43 / 101,25 / 68,"
"2021/2022,""DOMINGUEZ FERNANDEZ, SILVIA"",Nacional,PERFUMERIAS AVENIDA,150,27,67,4,63,105,27,54,1,3,38,38,207,563:23,27 / 71,27 / 67,"
"2021/2022,""DONGUE, LEIA TANIA DO BASTIAO"",Extranjero,KUTXABANK ARASKI,435,30,192,44,148,62,27,81,3,8,101,85,419,821:14,149 / 271,23 / 86,68 / 118"
"2021/2022,""DRAMMEH, BINTA MOMMY DAISY"",Extranjero,SPAR GIRONA,240,25,74,20,54,28,25,40,2,3,42,37,206,600:54,63 / 122,27 / 87,"
"2021/2022,""ERAUNCETAMURGIL AYESTARAN, MARIA"",Nacional,DURÁN MAQUINARIA ENSINO,72,15,32,10,22,9,9,23,1,1,18,24,52,194:10,,,"
"2021/2022,""ESNAL AGUIRRE, ANE"",Nacional,IDK EUSKOTREN,13,15,11,1,10,5,6,7,,1,5,10,8,107:47,,,"
"2021/2022,""ESPAÑA ALMENDRO, MARIA"",Nacional,IDK EUSKOTREN,270,29,45,5,40,24,20,23,1,1,65,33,227,601:46,39 / 88,48 / 133,"
"2021/2022,""ESPIN DE SANCHO, MARIA"",Nacional,MOVISTAR ESTUDIANTES,137,30,66,13,53,28,21,26,1,6,41,46,140,469:56,,23 / 63,"
"2021/2022,""ESTEBAS ARMAS, PAULA"",Nacional,CAMPUS PROMETE,296,30,70,13,57,52,18,50,1,6,50,27,218,738:21,52 / 131,53 / 153,"
"2021/2022,""ETXARRI MUNARRIZ, IRATI"",Nacional,CADI LA SEU,361,26,213,67,146,30,38,59,11,3,74,57,418,773:54,146 / 288,6 / 36,51 / 72"
"2021/2022,""FALL, SOKHNA ADJI"",Extranjero,SPAR GRAN CANARIA,137,28,133,48,85,25,15,40,12,3,23,65,178,510:18,61 / 110,,"
"2021/2022,""FASOULA, MARIA EMMANOUELA"",Extranjero,PERFUMERIAS AVENIDA,199,27,102,36,66,11,10,29,10,1,54,69,231,438:16,81 / 130,,"
"2021/2022,""FINGALL, NADIA ANGELIQUE"",Extranjero,MOVISTAR ESTUDIANTES,357,30,223,65,158,27,24,40,14,6,67,73,411,847:19,100 / 197,35 / 111,52 / 67"
"2021/2022,""FLORES COSTA, LAIA"",Nacional,SPAR GIRONA,201,30,121,24,97,58,46,44,,2,52,47,235,708:22,51 / 138,23 / 66,"
"2021/2022,""GARCIA SALINERO, LAURA"",Nacional,INNOVA-TSN LEGANÉS,84,24,41,7,34,28,9,26,2,1,21,20,82,397:59,,,"
"2021/2022,""GARCIA URLEZAGA, IZASKUN"",Nacional,KUTXABANK ARASKI,80,21,44,13,31,43,13,51,1,4,37,26,73,496:13,,13 / 40,"
"2021/2022,""GARDNER, REBEKA JASMINE"",Extranjero,SPAR GIRONA,339,23,132,32,100,51,47,53,4,2,63,29,424,619:43,110 / 202,16 / 44,71 / 81"
"2021/2022,""GARI GILABERT, IRENE DEL REBOLLET"",Nacional,BAXI FERROL,68,27,35,15,20,12,5,18,,,18,19,53,317:37,,15 / 44,"
"2021/2022,""GELDOF, SERENA LYNN PETRA"",Extranjero,CAMPUS PROMETE,194,29,121,44,77,14,15,30,15,1,47,51,228,480:31,81 / 160,,"
"2021/2022,""GIL COLLADO, LAURA"",Nacional,VALENCIA B.C.,160,20,110,31,79,35,26,37,5,1,60,35,225,524:29,61 / 131,,"
"2021/2022,""GIMENO MARTINEZ, VEGA"",Nacional,CASADEMONT ZARAGOZA,348,29,158,21,137,64,25,67,3,6,93,46,387,916:09,67 / 151,50 / 137,64 / 84"
"2021/2022,""GINZO ARANTES, PAULA"",Nacional,LOINTEK GERNIKA BIZKAIA,218,30,112,28,84,36,9,27,4,4,53,45,241,589:43,93 / 196,,"
"2021/2022,""GIOMI, LYDIA MORA"",Extranjero,SPAR GRAN CANARIA,274,30,256,112,144,15,32,57,4,5,73,87,364,958:14,118 / 243,,"
"2021/2022,""GOMES DA SILVA, SOFIA CAROLINA"",Extranjero,DURÁN MAQUINARIA ENSINO,216,30,137,47,90,17,16,51,4,2,65,77,203,637:43,83 / 170,,44 / 77"
"2021/2022,""GOMEZ IGUAL, ANNA"",Nacional,VALENCIA B.C.,51,21,25,5,20,25,4,19,2,1,11,19,51,242:20,,,"
"2021/2022,""GONZALEZ DUARTE , LARA"",Nacional,CASADEMONT ZARAGOZA,135,30,55,14,41,45,18,56,2,6,49,56,110,563:10,43 / 81,9 / 38,"
"2021/2022,""GORECKI, HALEY"",Extranjero,TENERIFE,203,16,56,7,49,17,21,29,3,7,42,19,193,454:32,49 / 110,20 / 55,"
"2021/2022,""GRANDE PARDO, CARMEN"",Nacional,BAXI FERROL,201,30,94,20,74,71,60,89,5,4,85,74,188,826:49,56 / 157,16 / 65,"
"2021/2022,""GRETTER, MELISA PAOLA"",Extranjero,MOVISTAR ESTUDIANTES,203,30,150,24,126,134,55,52,,2,59,36,392,1011:02,33 / 78,34 / 102,"
"2021/2022,""GULICH, MARIE ISABELLE"",Extranjero,VALENCIA B.C.,290,29,172,58,114,41,24,54,17,5,65,79,346,739:46,119 / 214,8 / 33,"
"2021/2022,""HARDEN, ALEXANDRIA LANET"",Extranjero,IDK EUSKOTREN,226,30,81,21,60,49,22,44,5,4,44,40,219,695:47,65 / 146,20 / 53,"
"2021/2022,""HEMPE, MERRITT RAMONA"",Extranjero,CASADEMONT ZARAGOZA,407,30,160,41,119,34,21,46,12,4,99,97,427,805:43,162 / 286,15 / 39,"
"2021/2022,""HERMIDA HERRAEZ, MARTA"",Nacional,INNOVA-TSN LEGANÉS,232,28,102,18,84,74,41,73,1,10,78,66,222,785:23,45 / 123,32 / 107,46 / 60"
"2021/2022,""HERNANDEZ ORTIZ, ZOE"",Nacional,CASADEMONT ZARAGOZA,18,25,14,,14,3,3,3,,,5,22,-9,200:57,,,"
"2021/2022,""HIGGS, LASHANN AISHA"",Extranjero,LOINTEK GERNIKA BIZKAIA,221,23,58,12,46,30,17,33,,4,33,37,192,462:17,72 / 134,17 / 41,"
"2021/2022,""HOF, EMESE EVA"",Extranjero,PERFUMERIAS AVENIDA,298,30,157,55,102,30,31,46,10,5,71,62,405,585:18,132 / 206,,"
"2021/2022,""HRUSCAKOVA, ZOFIA"",Extranjero,TENERIFE,220,22,112,25,87,37,9,45,2,3,48,55,198,646:48,81 / 163,10 / 45,"
"2021/2022,""IVANOVIC, MILICA"",Extranjero,BAXI FERROL,224,28,82,14,68,65,35,62,3,6,57,34,188,815:29,71 / 176,19 / 86,"
"2021/2022,""JAKOVINA, TINA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,166,29,86,23,63,5,11,18,1,5,12,49,84,502:55,36 / 110,31 / 86,"
"2021/2022,""JESPERSEN, MARIA STEEN"",Extranjero,INNOVA-TSN LEGANÉS,167,27,106,35,71,35,12,32,1,8,31,31,149,557:36,57 / 143,12 / 58,"
"2021/2022,""KALIN, MARIANNE FANNY"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,132,30,92,24,68,12,17,18,5,11,45,72,125,672:11,51 / 119,,"
"2021/2022,""KNIGHT, LESLIE FAYE"",Extranjero,MOVISTAR ESTUDIANTES,115,17,48,19,29,21,9,24,,7,38,24,103,381:36,40 / 88,4 / 30,"
"2021/2022,""KOENEN, TAYLOR SUE"",Extranjero,BAXI FERROL,404,29,213,44,169,54,43,63,4,18,72,57,433,904:31,105 / 232,50 / 140,44 / 64"
"2021/2022,""KOIZAR, SIGRID"",Extranjero,INNOVA-TSN LEGANÉS,59,24,41,11,30,22,5,19,,3,20,17,74,319:16,,,"
"2021/2022,""KONE , SIKA"",Extranjero,SPAR GRAN CANARIA,239,19,215,63,152,23,17,48,2,4,95,44,382,630:45,89 / 171,,58 / 84"
"2021/2022,""KOSTOURKOVA, MARIA IVANOVA"",Extranjero,CASADEMONT ZARAGOZA,70,28,68,30,38,6,10,17,5,,33,45,74,376:12,29 / 74,,"
"2021/2022,""KOVACEVIC, BOJANA"",Extranjero,CAMPUS PROMETE,189,28,173,40,133,38,28,41,4,7,44,45,232,717:03,43 / 132,23 / 89,"
"2021/2022,""LABUCKIENE, GIEDRE"",Extranjero,SPAR GIRONA,155,28,132,37,95,7,14,23,12,5,82,53,233,555:34,53 / 121,,49 / 72"
"2021/2022,""LACORZANA GERVASINI, AINHOA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,96,30,58,7,51,34,9,39,1,5,50,55,49,424:26,23 / 80,11 / 49,"
"2021/2022,""LAHUERTA MENDOZA, IRENE"",Nacional,CAMPUS PROMETE,55,15,29,11,18,22,8,18,1,,20,30,58,194:44,,,"
"2021/2022,""LASS, KADRI ANN"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,242,30,140,38,102,43,24,31,9,4,46,47,264,792:28,57 / 141,34 / 107,"
"2021/2022,""LEAUPEPE, GERALDYNN MALAMA"",Extranjero,BAXI FERROL,110,24,41,12,29,17,21,31,1,7,27,54,49,315:12,29 / 77,11 / 41,"
"2021/2022,""LIZARAZU HERRERA, MARINA"",Nacional,DURÁN MAQUINARIA ENSINO,177,30,72,17,55,58,37,44,,,62,72,148,734:12,51 / 133,14 / 59,"
"2021/2022,""LO SYLLA, NOGAYE"",Nacional,PERFUMERIAS AVENIDA,59,19,41,14,27,13,8,13,3,3,8,22,59,259:57,,,"
"2021/2022,""LOPEZ TOBI, IHO"",Nacional,SPAR GIRONA,29,18,39,11,28,5,7,13,1,,7,21,33,163:41,,,"
"2021/2022,""LOPEZ VIVES, HELENA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,115,30,48,14,34,38,21,22,,1,62,60,104,572:16,,19 / 78,"
"2021/2022,""LUKACOVICOVA, KLAUDIA"",Extranjero,CADI LA SEU,134,27,55,13,42,11,10,35,9,3,39,39,81,355:14,46 / 111,9 / 34,"
"2021/2022,""MAYOMBO, EMMANUELLA KALAMBIE H."",Extranjero,TENERIFE,101,17,37,9,28,24,11,25,,,50,29,120,375:56,,12 / 35,"
"2021/2022,""MELGOZA, AMBER"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,350,30,155,35,120,28,28,36,2,9,60,43,309,795:15,93 / 222,37 / 125,53 / 71"
"2021/2022,""MENDEZ CAMPS, LAURA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,156,30,67,16,51,66,13,54,1,4,48,13,163,624:10,45 / 123,13 / 43,"
"2021/2022,""MILLAN MODIA, BLANCA"",Nacional,SPAR GRAN CANARIA,311,30,66,13,53,31,40,32,7,4,67,87,206,850:13,57 / 146,52 / 155,"
"2021/2022,""MILLER, CHERIN BRITANY"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,117,21,99,44,55,7,6,35,7,3,30,62,115,400:29,51 / 95,,"
"2021/2022,""MONTENEGRO SANTANA, RITA ESTHER"",Nacional,TENERIFE,44,18,41,8,33,8,4,12,,,7,32,24,208:00,,,"
"2021/2022,""MOORE, TINARA NICOLE"",Extranjero,LOINTEK GERNIKA BIZKAIA,330,30,165,61,104,26,15,47,5,10,85,68,374,694:01,131 / 239,,68 / 94"
"2021/2022,""MUHATE PEÑA, CECILIA"",Nacional,INNOVA-TSN LEGANÉS,156,28,128,26,102,29,26,25,5,6,34,60,181,763:32,69 / 171,,"
"2021/2022,""N'DIAYE, DJENEBA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,245,26,63,20,43,28,35,48,1,19,80,39,151,565:28,38 / 104,36 / 149,61 / 96"
"2021/2022,""NESBITT, VALERIE ADRIANNA"",Extranjero,SPAR GRAN CANARIA,304,30,92,12,80,119,51,91,3,19,90,79,166,894:10,92 / 301,28 / 119,"
"2021/2022,""NOGIC, JOVANA"",Extranjero,CAMPUS PROMETE,396,30,122,14,108,62,27,55,,7,117,84,363,973:19,65 / 159,70 / 193,56 / 61"
"2021/2022,""OCETE CASTILLO, GABRIELA"",Nacional,TENERIFE,141,29,78,7,71,101,38,47,1,3,90,59,215,884:05,34 / 103,8 / 46,49 / 70"
"2021/2022,""OMA GIRALT, HELENA"",Nacional,DURÁN MAQUINARIA ENSINO,194,25,100,24,76,39,29,56,1,8,42,53,168,634:38,55 / 133,18 / 55,"
"2021/2022,""ORSILI, ALESSANDRA"",Extranjero,DURÁN MAQUINARIA ENSINO,178,28,54,16,38,28,30,44,,1,37,53,110,559:41,44 / 103,24 / 77,"
"2021/2022,""ORTIZ VIVES, MARIONA"",Nacional,MOVISTAR ESTUDIANTES,167,27,113,14,99,62,28,60,6,2,37,71,154,660:22,55 / 134,14 / 52,"
"2021/2022,""OUVIÑA MODREGO, CRISTINA"",Nacional,VALENCIA B.C.,182,23,68,6,62,107,42,50,1,2,60,33,273,523:03,47 / 99,18 / 59,"
"2021/2022,""PALAU ALTES, LAIA"",Nacional,SPAR GIRONA,95,27,102,16,86,110,28,46,2,,26,48,187,680:43,40 / 94,,"
"2021/2022,""PALENIKOVA, TEREZIA"",Extranjero,INNOVA-TSN LEGANÉS,188,28,58,9,49,36,19,38,,3,25,27,120,587:36,55 / 130,21 / 83,"
"2021/2022,""PALMA JORGE, ANA MARIA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,108,29,102,21,81,46,9,43,4,9,39,31,120,626:04,29 / 93,8 / 51,"
"2021/2022,""PARDO HERVIAS, LAURA"",Nacional,KUTXABANK ARASKI,38,25,29,4,25,10,6,9,1,,7,25,39,233:30,,,"
"2021/2022,""PEREZ ARAUJO, MARIA"",Nacional,SPAR GIRONA,92,15,92,22,70,14,11,16,5,1,24,18,128,306:50,,17 / 54,"
"2021/2022,""PEÑA JUBANY, LAURA"",Nacional,CADI LA SEU,204,30,138,20,118,86,37,56,1,6,62,24,296,807:14,31 / 94,37 / 117,"
"2021/2022,""PIERRE LOUIS, VIONISE ARONS"",Extranjero,INNOVA-TSN LEGANÉS,219,16,128,46,82,29,13,46,7,6,55,32,250,509:04,96 / 198,,"
"2021/2022,""PINA TOLOSA, MARIA"",Nacional,TENERIFE,159,22,83,9,74,18,10,21,,2,34,35,163,519:18,37 / 87,21 / 54,"
"2021/2022,""PIVEC, MIKAYLA DENALI"",Extranjero,CADI LA SEU,287,30,165,51,114,61,28,59,7,9,86,68,300,799:39,94 / 243,15 / 56,54 / 71"
"2021/2022,""PLAISANCE, THERESA MONIQUE"",Extranjero,TENERIFE,245,16,153,31,122,15,9,27,9,3,46,39,243,468:45,65 / 158,28 / 91,"
"2021/2022,""PRIETO MARTINEZ, ALBA"",Nacional,DURÁN MAQUINARIA ENSINO,125,24,59,1,58,40,32,48,,3,31,50,94,457:16,32 / 84,16 / 55,"
"2021/2022,""PUJOL LLUCH, ARIADNA"",Nacional,CADI LA SEU,105,30,87,26,61,25,18,29,3,5,54,47,127,561:53,36 / 87,,"
"2021/2022,""RAKSANYI, KRISZTINA"",Extranjero,TENERIFE,243,30,59,11,48,43,25,56,2,3,65,78,156,901:41,65 / 152,20 / 74,"
"2021/2022,""RAVENTOS ROIG, LAIA"",Nacional,CADI LA SEU,227,29,60,13,47,57,36,51,,7,43,46,185,604:57,40 / 106,37 / 101,"
"2021/2022,""REISINGEROVA , JULIA SUSSANE"",Extranjero,SPAR GIRONA,300,29,114,30,84,21,21,52,14,,76,100,236,665:58,112 / 230,13 / 35,"
"2021/2022,""RODRIGUEZ DOMINGUEZ, NATALIA"",Nacional,BAXI FERROL,265,29,116,27,89,41,22,46,,5,45,55,273,708:24,36 / 70,56 / 126,"
"2021/2022,""RODRIGUEZ MANSO, LEONOR DEL PILAR"",Nacional,PERFUMERIAS AVENIDA,301,30,95,15,80,68,33,40,1,,58,31,373,746:37,50 / 90,56 / 118,"
"2021/2022,""ROMERO GONZALEZ, LETICIA"",Nacional,VALENCIA B.C.,243,27,75,12,63,75,26,38,5,3,50,36,293,601:23,61 / 113,31 / 77,"
"2021/2022,""ROUNDTREE, MARGARET YVETTE"",Extranjero,LOINTEK GERNIKA BIZKAIA,218,29,70,32,38,30,17,43,4,6,48,43,172,599:12,85 / 176,,"
"2021/2022,""SALVADORES ALVAREZ, ANGELA"",Nacional,VALENCIA B.C.,236,24,50,6,44,21,24,24,3,3,42,38,190,442:17,68 / 143,20 / 65,"
"2021/2022,""SAMUELSON, KARLIE ANNE"",Extranjero,PERFUMERIAS AVENIDA,185,25,78,7,71,30,26,12,4,1,27,53,209,534:14,,41 / 98,"
"2021/2022,""SANCHEZ MARRUFO, BEATRIZ"",Nacional,KUTXABANK ARASKI,94,29,80,27,53,18,10,18,2,2,42,31,130,483:07,,11 / 34,"
"2021/2022,""SANGARE, AMINATA BRAHIMA"",Extranjero,CASADEMONT ZARAGOZA,58,16,68,20,48,1,10,12,2,2,12,27,72,174:50,,,"
"2021/2022,""SEDA, TAMARA ADELAIDE JOSE CAMACHO"",Extranjero,KUTXABANK ARASKI,214,28,172,56,116,27,15,63,4,8,53,76,233,685:07,93 / 195,,"
"2021/2022,""SEGURA MORENO, LORENA"",Nacional,VALENCIA B.C.,80,28,33,10,23,13,12,15,1,,8,23,55,388:02,,17 / 53,"
"2021/2022,""SENOSIAIN VERGARACHEA, ANNE"",Nacional,TENERIFE,49,25,21,3,18,23,17,33,,,19,44,18,256:21,,,"
"2021/2022,""SILVA SERRANO , ROSELIS CAROLINA"",Nacional,LOINTEK GERNIKA BIZKAIA,137,29,86,15,71,61,39,39,,5,48,60,175,575:50,30 / 74,19 / 69,"
"2021/2022,""SOLER RAMIÓ, JÚLIA"",Nacional,CADI LA SEU,29,20,25,6,19,10,6,15,,2,4,24,-3,220:47,,,"
"2021/2022,""SORIANO CUESTA, CRISTINA"",Nacional,IDK EUSKOTREN,22,17,15,6,9,6,4,5,2,1,5,12,25,134:50,,,"
"2021/2022,""STRAUTMANE, PAULA"",Extranjero,CADI LA SEU,134,30,77,27,50,23,20,23,12,3,23,82,84,681:34,,24 / 86,"
"2021/2022,""SWART, SUNE MARI"",Extranjero,BAXI FERROL,187,29,160,60,100,33,25,66,16,8,58,65,241,776:45,72 / 154,,"
"2021/2022,""TATE, IMANI TY LEAH"",Extranjero,INNOVA-TSN LEGANÉS,363,30,140,43,97,69,49,82,2,9,125,95,369,870:33,112 / 257,14 / 48,97 / 120"
